marca;motor;preco;massa[g];link;diametro;passo;pa;Throttle100Pot[W];Throttle100tracao0[g];T100tracao9;T100tracao18;T100tracao27;T100tracao36;T100tracao45;T100tracao54;T100tracao63;T100tracao72;T100tracao81;T100tracao90;T100tracao99;T100tracao108;T100tracao117;T100tracao126;T100tracao135;Throttle100Ef[%];Pot≈600Throttle[%];Pot≈600Pot[W];Pot≈600Ef[%];Pot≈600Tracao[g]
SunnySky;SunnySky X6215S-350;;1106;;18;11.0;2;1519.5;6870;6841;6757;6616;6418;6164;5854;5487;5064;4584;4048;3455;2806;2101;1339;521;83.4;79;581.9;82.9;1592
T-Motor;T-Motor P60-340;;1112;;19;9.0;2;1544.1;6377;6342;6236;6059;5812;5494;5106;4646;4116;3516;2845;2103;1290;407;-;-;84.7;85;589.6;84.4;1451
Scorpion;Scorpion SII-4035-330;;1134;;18;11.0;2;1463.6;6653;6625;6541;6400;6202;5948;5638;5271;4847;4368;3832;3239;2590;1885;1123;304;89.6;87;616.7;89.4;1740
Scorpion;Scorpion HK5-4030-355;;1196;;19;7.0;2;1374.9;5696;5657;5542;5349;5078;4731;4307;3805;3226;2570;1836;1026;138;-;-;-;87.1;90;584.2;86.7;1316
Scorpion;Scorpion HK5-4030-355;;1179;;18;9.0;2;1354.5;6162;6131;6038;5883;5666;5387;5046;4643;4178;3651;3062;2411;1698;923;86;-;87.4;89;639.1;86.9;1592
SunnySky;SunnySky X4130-380 V3;;1179;;18;7.0;2;1384.0;5974;5940;5838;5668;5429;5123;4748;4305;3794;3215;2568;1852;1069;217;-;-;90.6;90;630.6;90.4;1451
T-Motor;T-Motor F1000-300;;1145;;20;11.0;2;1421.0;6922;6886;6776;6592;6336;6006;5602;5125;4575;3952;3255;2485;1642;725;-;-;86.6;87;594.7;86.2;1592
Scorpion;Scorpion HK5-4026-385;;1157;;18;8.0;2;1450.2;6174;6142;6044;5882;5654;5362;5004;4581;4094;3541;2923;2241;1493;680;-;-;89.3;84;586.5;89.2;1451
T-Motor;T-Motor AT4130-300 (Long Shaft);;1122;;20;11.0;2;1470.6;7182;7146;7036;6852;6596;6266;5862;5386;4835;4212;3515;2745;1902;985;-;-;88.5;85;582.5;88;1592
T-Motor;T-Motor MN605-S KV320;;1163;;20;10.0;2;1492.0;7697;7658;7544;7352;7084;6740;6319;5821;5247;4597;3870;3066;2186;1229;196;-;89.6;84;614.2;89.2;1592
Scorpion;Scorpion SII-4035-330;;1065;;19;9.0;2;1685.0;6373;6338;6232;6055;5808;5490;5101;4642;4112;3512;2840;2098;1286;403;-;-;89.7;91;638.5;89.6;1592
SunnySky;SunnySky X6215S-350;;1196;;19;9.0;2;1388.4;6576;6541;6435;6258;6011;5693;5304;4845;4315;3715;3043;2301;1489;606;-;-;83;83;602.7;82.5;1451
Scorpion;Scorpion SII-4035-380;;1112;;18;7.0;2;1557.7;5731;5697;5595;5425;5186;4880;4505;4062;3551;2972;2324;1609;826;-;-;-;90.7;91;630;90.5;1451
T-Motor;T-Motor F1000-300;;1196;;20;12.0;2;1359.9;7327;7292;7186;7010;6764;6448;6061;5604;5077;4479;3811;3072;2264;1385;435;-;86.5;86;638.7;86.2;1740
T-Motor;T-Motor P60-340;;1157;;19;10.0;2;1523.9;6842;6808;6707;6538;6301;5998;5626;5187;4681;4106;3465;2756;1979;1135;223;-;84.9;84;627.6;84.8;1592
T-Motor;T-Motor MN4120-400;;1134;;18;10.0;2;1554.4;7611;7581;7493;7345;7138;6872;6547;6162;5719;5216;4654;4034;3354;2615;1816;959;88.8;74;578.1;89.3;1592
Scorpion;Scorpion SII-4025-330;;996;;20;10.0;2;1827.9;7260;7222;7107;6916;6648;6303;5882;5385;4811;4160;3433;2629;1749;792;-;-;90.4;84;604.5;90.6;1592
